trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",25,0,-1.4733071883258675,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,15,10.997924848758217,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,6,-6.33890112435405,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",25,0,-21.511646208070527,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",30,6,0.40884254593099967,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,7,-33.48532784971461,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,14,-25.973346677267642,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",25,0,-25.541222002340618,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,13,10.077500431455666,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,0,-98.6343647718336,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",25,0,-51.513346236338364,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,0,-79.20189678866758,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,0,-14.117437193314744,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",25,13,-21.997784099332627,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",25,0,-32.29494089656594,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
